theta,omega
-0.6934530453615162,-0.8699416485068886
-0.6302469246445752,-0.8750821085932521
-0.5670516124957915,-0.8804429565330985
-0.5038660171945862,-0.8860026633109922
-0.4406890079161154,-0.8917389138542631
-0.37751942089384943,-0.8976286927344924
-0.3143560641518406,-0.9036483774340285
-0.25119772052680056,-0.9097738324002141
-0.18804315184909368,-0.9159805053110253
-0.12489110493761504,-0.9222435231391807
-0.061740316426052017,-0.9285377907423651
0.0014104813082497225,-0.9348380896871034
0.0645625570595297,-0.9411191764612395
0.1277171738645465,-0.947355884077146
0.19087558461342663,-0.9535232207122981
0.2540390270471532,-0.9595964684106416
0.3172087188074465,-0.9655512807769693
0.38038585265747393,-0.9713637794031084
0.4435715917524917,-0.9770106483428956
0.5067670668114646,-0.9824692221153577
0.5699733659004519,-0.9877175870844942
0.6331915335983221,-0.9927346614901028
0.6964225719541405,-0.997500271964447
0.7596674277577994,-1.0019952505736656
0.8229269936195122,-1.006201499698489
0.8862021033034879,-1.0101020683493647
0.949493528379353,-1.0136812205818078
1.0128019753085378,-1.016924497773585
1.0761280816963028,-1.0198187831066603
1.1394724148248638,-1.0223523489995516
1.2028354689385603,-1.0245149078192843
1.2662176631725068,-1.0262976547085692
1.3296193397963185,-1.0276933046546644
1.3930407628034422,-1.0286961235118577
1.4564821168069901,-1.029301952915299
1.5199435106298544,-1.0295082286229056
1.5834249597795316,-1.0293139932749802
1.6469264111950324,-1.0287199030088583
1.7104477272289615,-1.0277282255225408
1.7739886901830606,-1.0263428333439313
1.8375490032209765,-1.024569189875037
1.9011282912327356,-1.0224143300227724
1.9647261024578615,-1.0198868332270952
2.0283419102730957,-1.0169967904923265
2.0919751156007327,-1.0137557640030748
2.1556250485262862,-1.0101767472666745
2.21929097864224,-1.0062741066152523
2.2829720981977295,-1.0020635226363537
2.3466675437971056,-0.9975619357351878
2.4103763938668226,-0.9927874754843223
2.474097664825764,-0.9877593930098719
2.5378303117513177,-0.982497952536891
2.6015733117722037,-0.9770243959345292
2.6653255269841343,-0.9713608276282135
2.7290856903489678,-0.965530123330097
2.792852827696357,-0.9595558615694015
2.8566256345352907,-0.9534621897495433
2.920402848475089,-0.9472737644215372
2.9841832426248964,-0.9410156115917899
3.0479655422438237,-0.9347130569082347
-3.2332062832252553,-0.914611843658237
-3.169423350854715,-0.9082901971551155
-3.1056410792322766,-0.9019756390007198
-3.0418607434305645,-0.895693723672301
-2.9780835984665566,-0.8894698735252288
-2.9143109191328396,-0.8833292572103283
-2.8505438492617983,-0.8772967397079061
-2.7867837809788965,-0.8713966833150406
-2.723031797933103,-0.8656529563691951
-2.6592890276436028,-0.8600887696789405
-2.5955566361638147,-0.8547265899496799
-2.531835676475741,-0.8495880794587337
-2.4681271663985296,-0.8446939634248841
-2.40443208157983,-0.8400639739068196
-2.3407513430019677,-0.8357167635079843
-2.2770858133482608,-0.8316698300649132
-2.2134362935845093,-0.8279394463207777
-2.149803519776616,-0.8245405947996645
-2.0861881601643972,-0.8214869081441567
-2.022590802495106,-0.8187906077884163
-1.9590119841005895,-0.816462475646682
-1.8954521540490545,-0.8145117938316381
-1.831911684815782,-0.812946314112207
-1.7683908710163083,-0.8117722286270079
-1.7048899276651726,-0.8109941512819931
-1.6414089907435045,-0.8106150918218826
-1.5779481145314052,-0.8106364396507293
-1.5145072734550884,-0.8110579887161494
-1.451086360984584,-0.8118779159026339
-1.387685190453165,-0.8130927971501866
-1.3243034958593676,-0.8146976232009387
-1.2609409287257833,-0.8166858415705699
-1.1975970750425011,-0.8190493081056522
-1.1342714356831776,-0.8217784320781426
-1.0709634415066418,-0.8248621451003975
-1.0076724526957581,-0.8282879640702048
